WorkOrderId,Description,Priority,Status,Submit To,Proj Start Date,Proj Finish Date,Actual Start,Actual Finish,Shop,Map Page,Address,Location,Category,Date Initiated,Project,Total Cost,Labor Cost,Comments,Zone,Units Accomplished,Request Ids,Resolution,SR Problem Code,SR Description,SR Priority
365923,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 07:42 AM,2023-02-03 07:42 AM,2023-03-13 12:00 PM,2023-07-13 12:00 PM,J,530B,9101 LIPAN RD,Prune 2 live Oaks next to basketball court for 8' away from the building and over roof,TREEMAINTENANCE,2023-01-04 07:42 AM,FY24 - Prime Trees,230,230,Invoice #143736,"2, ZONE",0,190082,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,3
365924,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 08:08 AM,2024-01-04 08:08 AM,,2023-01-04 12:00 PM,H,454J,2610 VANCE ST,"4 Live Oak - 1 1/2"" caliper ",TREEPLANTING,2023-01-04 08:08 AM,,0,0,"From Request 192200:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see attached plan. 32"" Pecan on setback 15"" Chinese Tallow, 36"" Chinese Tallow. All requiring removal for construction o","4, ZONE",0,192200,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
365925,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2023-01-04 08:24 AM,2023-01-14 08:24 AM,,2023-01-05 12:52 PM,04,531B,5663 GULFTON ST,Prune 3 shrubs growing into sidewalk along park 2 across from 6103 Chimney rock and one next to bus stop,TREEMAINTENANCE,2023-01-04 08:24 AM,,185,185,"From Request 190081:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-08-26T15:05:02.479-05:00 Dynamic365 Case Id : 2200567759
  Comments: Ent","7, ZONE",0,190081,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3
365926,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 08:28 AM,2024-01-04 08:28 AM,,2023-01-04 12:00 PM,K,572N,13918 WHITE HEATHER DR (22081775 ),"2 Oaks - 1 1/2"" caliper ",TREEPLANTING,2023-01-04 08:28 AM,,0,0,"From Request 192036:
  Code: Tree Planting
  Description: Tree Planting Inspection
  Details: 
  Comments: Urban Forestry has inspected the site and determined the tree shown on the plan as a 17” Oak for removal is actually a protected 17” Pecan.","7, ZONE",0,192036,09 - Tree Portal entry completed.,Tree Planting,Tree Planting Inspection,6
365927,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 08:33 AM,2023-02-03 08:33 AM,2023-03-13 12:00 PM,2023-08-08 12:00 PM,I,535D,"9611 E AVENUE J, HOUSTON, TEXAS, 77012",Remove one hollow and hazardous water oak infront of the address and grind the resulting stump. ,TREEMAINTENANCE,2023-01-04 08:33 AM,FY24 - Prime Trees,845,845,Invoice #145050,"5, ZONE",0,192448,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,1
365928,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 08:40 AM,2024-01-04 08:40 AM,,2023-01-04 12:00 PM,D,533V,5010 DOULTON DR,"2 Oaks - 1 1/2"" caliper ",TREEPLANTING,2023-01-04 08:40 AM,,0,0,"From Request 192268:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see attached residential plan.Urban Forestry has inspected the site and determined that the tree shown on the plan as an","6, ZONE",0,192268,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
365929,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 08:53 AM,2024-01-04 08:53 AM,,2023-01-04 12:00 PM,C,452J,1607 WAKEFIELD DR,"2 Oaks - 3"" caliper ",TREEPLANTING,2023-01-04 08:53 AM,,0,0,"From Request 192464:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see site plan.Please see the requested info. Urban Forestry has inspected the site and determined there is one existing","3, ZONE",0,192464,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
365930,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2023-01-04 09:04 AM,2023-02-03 09:04 AM,2023-03-03 12:00 PM,2023-09-23 12:00 PM,C,531P,8619 FERRIS DR,"Remove and stump grind 22"" Willow Oak next to driveway ",TREEMAINTENANCE,2023-01-04 09:04 AM,FY24 - Prime Trees,336,336,Invoice #146976.,"7, ZONE",0,"191402,194423,195092,195302",00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,1
365931,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 09:07 AM,2024-01-04 09:07 AM,,2023-01-04 12:00 PM,C,452Z,1045 ASHLAND ST,"3 Shumard Oak - 4"" caliper ",TREEPLANTING,2023-01-04 09:07 AM,,0,0,"From Request 192485:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Please see updated plan. Please see the site plan attached. Please embed the Landscape Analysis Form onto the plan so we can en","3, ZONE",0,192485,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,7
365932,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2023-01-04 09:18 AM,2024-01-04 09:18 AM,,2023-01-04 12:00 PM,K,531U,10311 S POST OAK RD,"8 Live Oak - 1 1/2"" caliper 
2 Bald Cypress - 1 1/2"" caliper 
5 Cedar Elm - 1 1/2"" caliper",TREEPLANTING,2023-01-04 09:18 AM,,0,0,"From Request 192537:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Monterrey Oak and Pond Cypress are not approved species for planting and therefore cannot count towards planting requirements.","7, ZONE",0,192537,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,7
