WorkOrderId,Description,Priority,Status,Submit To,Proj Start Date,Proj Finish Date,Actual Start,Actual Finish,Shop,Map Page,Address,Location,Category,Date Initiated,Project,Total Cost,Labor Cost,Comments,Zone,Units Accomplished,Request Ids,Resolution,SR Problem Code,SR Description,SR Priority
358519,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2021-01-02 02:06 PM,2022-01-02 02:06 PM,,2021-01-02 02:08 PM,H,494U,5413 BRADY ST,Builder planting 1 tree on property,TREEPLANTING,2021-01-02 02:06 PM,,0,0,"From Request 176881:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: Urban Forestry can issue a permit for removal of the Crape Myrtles to accommodate construction of the new driveway. However, th","5, ZONE",0,176881,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
358520,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2021-01-03 01:36 PM,2022-01-03 01:36 PM,,2021-01-03 01:38 PM,I,495V,410 NEW MEXICO ST,Builder planting 2 trees in row.,TREEPLANTING,2021-01-03 01:36 PM,,0,0,"From Request 176938:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: The proposed 20"" Chinaberry to be removed is within the lot.","5, ZONE",0,176938,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
358521,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2021-01-03 03:22 PM,2022-01-03 03:22 PM,,2021-01-03 03:23 PM,D,533P,3429 MOUNT PLEASANT ST,Builder planting 2 trees on property.,TREEPLANTING,2021-01-03 03:22 PM,,0,0,"From Request 176932:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: The proposed tree to be removed is a Pecan that is within the lo.At leat one of the required trees must be within the public ri","6, ZONE",0,176932,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
358522,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2021-01-04 10:44 AM,2021-02-03 10:44 AM,2021-03-13 12:00 PM,2021-04-13 12:00 PM,D,576Y,11830  KIRKHOLM ,"Remove and stump grind Poor quality Arizona Ash, major butt rot.",TREEMAINTENANCE,2021-01-04 10:44 AM,FY21 - Tree Maintenance ,682,682,Issued to contractor on 3/13/21,"6, ZONE",0,176969,00 - Work completed.,Tree Removal,Tree Removal Inspection,0
358523,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2021-01-04 10:45 AM,2021-02-03 10:45 AM,2021-03-13 12:00 PM,2021-04-03 12:00 PM,F,529S,"12211 PINE KNOLL DR, HOUSTON, TX, 77099",Remove both stems of ash infront of address and grind stump,TREEMAINTENANCE,2021-01-04 10:45 AM,FY21 - Tree Maintenance ,918,918,Issued to contractor 3/13/21,"2, ZONE",0,176939,00 - Work completed.,Tree Removal,Tree Removal Inspection,0
358524,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2021-01-04 01:10 PM,2021-02-03 01:10 PM,2021-02-04 12:00 PM,2021-02-10 12:00 PM,C,531U,"5101 RUTHERGLENN DR, HOUSTON, TX, 77096",Remove water oak with large hole in base. Godwin Park near entrance across from 5110 rutherglenn,TREEMAINTENANCE,2021-01-04 01:10 PM,FY21 - Tree Maintenance ,89,89,Issued to contractor 2/4/21,"7, ZONE",0,176945,00 - Work completed.,Tree Removal,Tree Removal Inspection,0
358525,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2021-01-04 11:44 PM,2022-01-04 11:44 PM,,2021-01-04 11:46 PM,D,533P,3555 NATHANIEL BROWN ST,Builder planting 1 tree on property.,TREEPLANTING,2021-01-04 11:44 PM,,0,0,"From Request 176933:
  Code: Tree Protection Rev
  Description: Tree Protection Review Inspection
  Details: 
  Comments: At least one of the required trees must be within the public right-of-way. The existing 25” Eastern Red Cedar tree in the abutt","6, ZONE",0,176933,09 - Tree Portal entry completed.,Tree Protection Rev,Tree Protection Review Inspection,6
358526,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2021-01-05 07:47 AM,2021-02-04 07:47 AM,2021-01-21 12:00 PM,2021-01-28 12:00 PM,C,493A,"944 ARLINGTON ST, HOUSTON, TX, 77008","Trim deadwood from 15"" chinese tallow next to driveway. ",TREEMAINTENANCE,2021-01-05 07:47 AM,FY21 - Tree Maintenance ,84,84,Issued to contractor on 1/21/2021,"3, ZONE",0,176953,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
358527,EMERGENCY REMOVAL BY IN-HOUSE,1,CLOSED,"UF, IN-HOUSE",2021-01-05 08:00 AM,2021-01-06 08:00 AM,,2021-01-07 09:19 PM,C,492H,"4202 E SPENCER ST, HOUSTON, TX, 77007",Remove parts of fallen private tree blocking sidewalk. Low priority. ,TREEMAINTENANCE,2021-01-05 08:00 AM,,0,0,"From Request 176987:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: IPS Service Request record locked for transfer to Houston Cityworks Database at 2021-01-04T21:35:38.110-06:00. LGID # 101004469565
  Comments: taxid : 127495","2, ZONE",0,176987,00 - Work completed.,Tree Removal,Tree Removal Inspection,0
358528,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2021-01-05 08:35 AM,2021-01-15 08:35 AM,,2021-01-06 08:46 PM,D,493U,"2000 HAMILTON ST, HOUSTON, TX, 77003","Trim branches obstructing view of traffic light and no parking sign. Approching int. Of Hamilton & Pierce, eastbound. 5 5"" live oaks",TREEMAINTENANCE,2021-01-05 08:35 AM,,309,309,"From Request 176960:
  Code: Tree Trim
  Description: Tree Trim Inspection
  Details: IPS Service Request record locked for transfer to Houston Cityworks Database at 2020-12-31T10:30:29.381-06:00. LGID # 101004465819
  Comments: sprneigh : DOWNTOWN","1, ZONE",0,176960,00 - Work completed.,Tree Trim,Tree Trim Inspection,0
