WorkOrderId,Description,Priority,Status,Submit To,Proj Start Date,Proj Finish Date,Actual Start,Actual Finish,Shop,Map Page,Address,Location,Category,Date Initiated,Project,Total Cost,Labor Cost,Comments,Zone,Units Accomplished,Request Ids,Resolution,SR Problem Code,SR Description,SR Priority
390348,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2025-01-02 07:44 AM,2025-02-01 07:44 AM,2025-01-16 12:00 PM,2025-02-21 12:00 PM,H,453M,"1903 Presley St,  Houston,  Texas,  77093","Remove 24"" ash on side of address ",TREEMAINTENANCE,2025-01-02 07:44 AM,FY26 - Prime Trees,246.75,246.75,Invoice #191120.,"4, ZONE",0,218028,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,0
390350,TRIM BY CONTRACTOR,3,CREW,"UF, CONTRACTOR",2025-01-02 08:20 AM,2025-02-01 08:20 AM,2025-01-16 12:00 PM,,G,490V,"6342 Chevy Chase Dr, Houston, Texas, 77057","Prune 3 private live oaks for street clearance across from indicated address, near lander ln intersection ",TREEMAINTENANCE,2025-01-02 08:20 AM,FY26 - Prime Trees,267.75,267.75,Prime Daily Route on 01/29/2025.,"2, ZONE",0,217947,,Tree Trim,Tree Trim Inspection,3
390351,TRIM BY CONTRACTOR,3,ISSUED,"UF, CONTRACTOR",2025-01-02 08:58 AM,2025-02-01 08:58 AM,2025-01-02 12:00 PM,,G,491V,"4755 Westheimer Rd,  Houston,  Texas,  77027","Prune 1 13"" live oak next to CVS for street signal obstruction. In right most lane  when heading sthe right most signal is obstructed",TREEMAINTENANCE,2025-01-02 08:58 AM,FY26 - Prime Trees,73.5,73.5,"(Copied from Service Request 214281): ""When in right most lane, the street signal was obstructed told caller that I was creating a wo ""","2, ZONE",0,"214281,222057",10 - Escalated Work Order,Tree Trim,Tree Trim Inspection,1
390352,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2025-01-02 10:33 AM,2025-02-01 10:33 AM,2025-02-14 12:00 PM,2026-05-09 12:00 PM,E,297N,"W Lake Houston Pkwy & Gardenwood Dr, Kingwood, Texas, 77339",Remove and stump grind 2 trees north of intersection one in esplanade and one on west edge,TREEMAINTENANCE,2025-01-02 10:33 AM,FY26 - Prime Trees,477.75,477.75,Invoice #197465.,"4, ZONE",0,,00 - Work completed by in-house or contractor.,,,
390354,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2025-01-02 10:44 AM,2025-02-01 10:44 AM,2025-02-14 12:00 PM,2025-03-08 12:00 PM,E,297N,"W Lake Houston Pkwy & Valley Rim Dr, Kingwood, Texas, 77339",Remove 4 trees south of listed intersection in esplanade ,TREEMAINTENANCE,2025-01-02 10:44 AM,Proactive Tree Maintenance,829.5,829.5,Invoice #177527.,"4, ZONE",0,,00 - Work completed by in-house or contractor.,,,
390355,REMOVAL BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2025-01-02 10:50 AM,2025-01-12 10:50 AM,,2025-01-11 09:59 AM,05,297N,"W Lake Houston Pkwy & Valley Rim Dr, Kingwood, Texas, 77339","Remove 1 6"" dead tree south of intersection in esplanade ",TREEMAINTENANCE,2025-01-02 10:50 AM,,0,0,,"4, ZONE",0,,00 - Work completed by in-house or contractor.,,,
390356,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2025-01-02 11:07 AM,2025-01-03 11:07 AM,2025-01-16 12:00 PM,2025-06-18 12:00 PM,C,493N,"401 Hyde Park Blvd,  Houston,  Texas,  77006 (Montrose)","Prune broken and hanging limb over yard from 34"" ash high priority ",TREEMAINTENANCE,2025-01-02 11:07 AM,FY25 - Prime Trees,105,105,Invoice #184157.,"2, ZONE",0,217971,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,0
390357,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2025-01-02 11:29 AM,2025-02-01 11:29 AM,2025-02-14 12:00 PM,2025-04-07 12:00 PM,E,297N,"W Lake Houston Pkwy & Appalachian Trl, Kingwood, Texas, 77339",Remove 8 trees south of listed intersection in esplanade ,TREEMAINTENANCE,2025-01-02 11:29 AM,Proactive Tree Maintenance,1023.75,1023.75,Invoice #179680.,"4, ZONE",0,,00 - Work completed by in-house or contractor.,,,
390358,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2025-01-02 11:36 AM,2025-01-03 11:36 AM,2025-01-16 12:00 PM,2025-02-04 12:00 PM,E,297N,"W Lake Houston Pkwy & Appalachian Trl, Kingwood, Texas, 77339",Remove fallen winged elm in esplanade south of listed intersection on the east side of the southbound lanes. Low priority ,TREEMAINTENANCE,2025-01-02 11:36 AM,FY25 - Prime Trees,89.25,89.25,Invoice #176134.,"4, ZONE",0,,00 - Work completed by in-house or contractor.,,,
390359,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2025-01-02 11:44 AM,2026-01-02 11:44 AM,,2025-01-02 12:00 PM,H,453Q,"6412 Paine St,  Houston,  Texas,  77022","2 Live Oak - 1 1/2"" caliper ",TREEPLANTING,2025-01-02 11:44 AM,,0,0,"(Copied from Service Request 217551): ""Customer replied, ""Please see the revised site plan.""

See email attached.""","4, ZONE",0,217551,00 - Work completed by in-house or contractor.,Tree Protection Rev,Tree Protection Review Inspection,6
