WorkOrderId,Description,Priority,Status,Submit To,Proj Start Date,Proj Finish Date,Actual Start,Actual Finish,Shop,Map Page,Address,Location,Category,Date Initiated,Project,Total Cost,Labor Cost,Comments,Zone,Units Accomplished,Request Ids,Resolution,SR Problem Code,SR Description,SR Priority
362924,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 07:24 AM,2022-02-03 07:24 AM,2022-04-01 12:00 PM,2022-05-11 12:00 PM,C,452Z,1141 ALEXANDER ST,Trim 2 private Live Oaks 14ft above street and 8ft over sidewalk. ,TREEMAINTENANCE,2022-01-04 07:24 AM,FY22 - Tree Maintenance,147,147,Invoice #128168.,"3, ZONE",0,185187,00 - Work completed.,Tree Removal,Tree Removal Inspection,3
362925,EMERGENCY DEBRIS PICK-UP,1,CLOSED,"UF, IN-HOUSE",2022-01-04 07:45 AM,2022-01-05 07:45 AM,,2022-01-11 10:39 AM,K,532P,3523 ELMRIDGE ST,"Remove 1 broken limb partially blocking street and some portion across sidewalk, low priority ",TREEMAINTENANCE,2022-01-04 07:45 AM,,0,0,"From Request 185199:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-01-03T15:33:49.010-06:00 Dynamic365 Case Id : 2200305853
  Comments: Ent","7, ZONE",0,185199,00 - Work completed.,Tree Removal,Tree Removal Inspection,1
362926,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 07:45 AM,2022-02-03 07:45 AM,2022-04-01 12:00 PM,2022-08-17 12:00 PM,F,528R,"12818 NEWBROOK DR, HOUSTON, TX, 77072",Remove and stump grind two dead palm trees infront of address,TREEMAINTENANCE,2022-01-04 07:45 AM,FY22 - Tree Maintenance,283,283,Invoice #131309.,"2, ZONE",0,,00 - Work completed.,,,
362927,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 07:55 AM,2023-01-04 07:55 AM,2022-04-01 12:00 PM,2022-08-17 12:00 PM,F,528R,"12706 LIMA DR, HOUSTON, TX, 77099","Grind 10"" stump on ROW in front of address",TREEMAINTENANCE,2022-01-04 07:55 AM,FY22 - Tree Maintenance,52,52,Invoice #131309.,"2, ZONE",0,,00 - Work completed.,,,
362928,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 08:00 AM,2022-02-03 08:00 AM,2022-04-01 12:00 PM,2023-01-31 12:00 PM,B,412X,6523 D S BAILEY LN,Remove dead tree in front of house. ,TREEMAINTENANCE,2022-01-04 08:00 AM,FY23 - Tree Maintenance,246,246,INV 135853,"3, ZONE",0,185188,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,3
362929,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 08:11 AM,2023-01-04 08:11 AM,2022-04-01 12:00 PM,2022-08-17 12:00 PM,F,528R,"8902 BROOKWULF DR, HOUSTON, TX, 77099",Grind stump infront of address ,TREEMAINTENANCE,2022-01-04 08:11 AM,FY22 - Tree Maintenance,89,89,Invoice #131309.,"2, ZONE",0,,00 - Work completed.,,,
362930,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 08:25 AM,2023-01-04 08:25 AM,2022-04-01 12:00 PM,2022-08-17 12:00 PM,F,528R,"9015 MELLOW BROOK DR, HOUSTON, TX, 77099","Grind 35"" stump infront of address ",TREEMAINTENANCE,2022-01-04 08:25 AM,FY22 - Tree Maintenance,183,183,Invoice #131309.,"2, ZONE",0,,00 - Work completed.,,,
362931,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2022-01-04 08:31 AM,2023-01-04 08:31 AM,2022-04-01 12:00 PM,2022-08-17 12:00 PM,F,528R,"12738 BROOKGLADE CIR, HOUSTON, TX, 77099",Stump grind pine stump in right of way infront of address,TREEMAINTENANCE,2022-01-04 08:31 AM,FY22 - Tree Maintenance,115,115,Invoice #131309.,"2, ZONE",0,,00 - Work completed.,,,
362932,DEBRIS PICK-UP,2,CLOSED,"UF, IN-HOUSE",2022-01-04 08:54 AM,2022-01-14 08:54 AM,,2022-01-20 10:27 AM,K,571E,5862 SOUTHMINSTER DR,Pickup 1 debris pile next to southminster and ashcroft.,TREEMAINTENANCE,2022-01-04 08:54 AM,,0,0,"From Request 185191:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-01-01T08:58:23.053-06:00 Dynamic365 Case Id : 2200304372
  Comments: Tre","7, ZONE",0,185191,00 - Work completed.,Tree Removal,Tree Removal Inspection,3
362933,EMERGENCY REMOVAL BY IN-HOUSE,1,CLOSED,"UF, IN-HOUSE",2022-01-04 08:55 AM,2022-01-05 08:55 AM,,2022-01-07 02:05 PM,A,450X,1237 CEDAR POST LN,"Remove dead Ash by driveway. 
Low priority. ",TREEMAINTENANCE,2022-01-04 08:55 AM,,336,336,"From Request 185196:
  Code: Tree Removal
  Description: Tree Removal Inspection
  Details: PRD Service Request record is locked for tranhsfer to PRD-Cityworks Database at 2022-01-03T14:31:41.815-06:00 Dynamic365 Case Id : 2200305732
  Comments: dea","3, ZONE",0,185196,00 - Work completed.,Tree Removal,Tree Removal Inspection,3
