WorkOrderId,Description,Priority,Status,Submit To,Proj Start Date,Proj Finish Date,Actual Start,Actual Finish,Shop,Map Page,Address,Location,Category,Date Initiated,Project,Total Cost,Labor Cost,Comments,Zone,Units Accomplished,Request Ids,Resolution,SR Problem Code,SR Description,SR Priority
371646,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2024-01-02 07:22 AM,2025-01-01 07:22 AM,,2024-01-02 12:00 PM,C,453S,"622 E 26th St,  Houston,  Texas,  77008","6 Live Oak - 6"" caliper 
1 Live Oak - 4"" caliper 
1 Live Oak - 2"" caliper ",TREEPLANTING,2024-01-02 07:22 AM,,0,0,"(Copied from Service Request 199211): ""Please see customer's response.""","3, ZONE",0,199211,00 - Work completed by in-house or contractor.,Tree Protection Rev,Tree Protection Review Inspection,6
371647,TREE/SEEDLING PLANTING,4,CLOSED,"UF, CONTRACTOR",2024-01-02 07:28 AM,2025-01-01 07:28 AM,,2024-01-02 12:00 PM,C,532J,"4022 Merrick St,  Houston,  Texas,  77025","1 Southern Magnolia - 1 1/2"" caliper 
1 Eastern Redbud - 1 1/2"" caliper ",TREEPLANTING,2024-01-02 07:28 AM,,0,0,"(Copied from Service Request 200430): ""Yes. Your note will suffice.""","7, ZONE",0,200430,00 - Work completed by in-house or contractor.,Tree Protection Rev,Tree Protection Review Inspection,6
371651,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2024-01-02 08:05 AM,2024-02-01 08:05 AM,2024-01-12 12:00 PM,2024-01-25 12:00 PM,J,569D,"11519 Bedford St,  Houston,  Texas,  77031","Prune private tree 16"" live oak for streetlight clearance ",TREEMAINTENANCE,2024-01-02 08:05 AM,FY24 - Prime Trees,84,84,Invoice #151922,"7, ZONE",0,200460,00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,0
371660,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2024-01-02 09:09 AM,2024-02-01 09:09 AM,2024-01-12 12:00 PM,2024-01-26 12:00 PM,K,531Z,"4429 Creekbend Dr,  Houston,  Texas,  77035","Remove and stump grind 23"" and 20"" dead pine trees at corner of indicated location       ",TREEMAINTENANCE,2024-01-02 09:09 AM,FY24 - Prime Trees,672,672,Invoice #152069,"7, ZONE",0,200689,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,0
371662,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE",2024-01-02 09:32 AM,2024-02-01 09:32 AM,,2024-10-22 09:48 AM,10,454F,4107 Laura Koppe Rd (Dodson Lake Park),"Trim all low hanging branches to 8' sidewalk clearance, 14' over parking lot, and for aesthetics. Trees not marked. Provide final count of trees upon completion of work.",TREEMAINTENANCE,2024-01-02 09:32 AM,,0,0,Very wet to go in the park,"4, ZONE",0,200328,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,0
371663,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2024-01-02 09:45 AM,2024-02-01 09:45 AM,2024-01-12 12:00 PM,2024-01-29 12:00 PM,K,531Y,"4837 Kinglet St,  Houston,  Texas,  77035",Prune 4 arbovitae trees blocking sidewalk.,TREEMAINTENANCE,2024-01-02 09:45 AM,FY24 - Prime Trees,270.9,270.9,Invoice #152069,"7, ZONE",0,200717,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,0
371664,REMOVAL & STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2024-01-02 09:55 AM,2024-02-01 09:55 AM,2024-01-12 12:00 PM,2024-01-20 12:00 PM,H,454F,4107 Laura Koppe Rd (Dodson Lake Park),Remove and stump grind 14 dead and declining trees within Dodson Lake Park,TREEMAINTENANCE,2024-01-02 09:55 AM,FY24 - Prime Trees,6830.25,6830.25,Invoice #151818.,"4, ZONE",0,"198225,198434,200328",00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,0
371665,REMOVAL BY IN-HOUSE,2,CLOSED,"GSM, NORTH",2024-01-02 10:01 AM,2024-02-01 10:01 AM,2024-01-11 03:41 PM,2024-02-24 12:00 PM,H,454F,4107 Laura Koppe Rd (Dodson Lake Park),Remove two dead Mexican plum trees near playground in Dodson Lake Park,TREEMAINTENANCE,2024-01-02 10:01 AM,,0,0,Completed on 02/24/2024. See email attached.,"4, ZONE",0,200328,00 - Work completed by in-house or contractor.,Tree Removal,Tree Removal Inspection,0
371666,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2024-01-02 10:05 AM,2024-02-01 10:05 AM,2024-01-12 12:00 PM,2024-01-18 12:00 PM,E,576K,"10711 Katya Gillian Dr,  Houston,  Texas,  77034",Trim one live oak in front of the address for street light clearance. ,TREEMAINTENANCE,2024-01-02 10:05 AM,FY24 - Prime Trees,84,84,Invoice #151732,"5, ZONE",0,"200715,200716",00 - Work completed by in-house or contractor.,Tree Trim,Tree Trim Inspection,0
371667,REMOVAL BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR",2024-01-02 10:08 AM,2024-02-01 10:08 AM,2024-01-12 12:00 PM,2024-02-05 12:00 PM,,418E,"Walton Rd & Aqueduct Rd, Houston, Texas, 77044","Remove four trees ( Three pines and one water oak)  inside Eisenhower Park limit on south east corner of this intersection ( or North side of 13018 Aqueduct rd, the Pops storage). Three Trees are inside and one pine is outside  Eisenhower Park fence. ",TREEMAINTENANCE,2024-01-02 10:08 AM,FY24 - Prime Trees,756,756,Invoice #152564,"4, ZONE",0,199317,00 - Work completed by in-house or contractor.,Tree Protection Rev,Tree Protection Review Inspection,0
